idT,text_mark,gram,leks,punkt,orpho,diskurs,skips,extra,gram1,gram2,gram3,gram4,gram5,gram6,gram7,gram8,gram9,gram10,gram11,gram12,gram13,gram14,leks15,leks16,leks17,leks18,diskurs19,diskurs20,diskurs21,diskurs22,g1,g2,g3,numsent,numtoken,numchar
1075,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2,13,108,462
1076,9,5,1,2,3,3,2,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,0,0,7,8,2,17,164,783
1077,10,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,175,787
1078,5,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3,0,8,74,334
1079,10,4,3,0,2,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,6,4,0,21,214,1067
1080,10,2,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,3,19,203,1022
1081,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,101,463
1082,5,3,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,17,181,913
1083,5,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,3,0,11,175,813
1084,10,3,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,5,0,21,242,1182
1087,9,7,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,9,0,18,236,1120
